T2M,PRECTOTCORR,WS10M,PS,AQI,Location,hasSprinkler,isIndustrial,policy_suggestion
17.39,7.9,2.92,102.04,196,17,1,0,0
15.97,7.32,3.32,102.32,374,15,0,0,3
18.75,2.45,1.05,101.98,413,13,0,1,3
25.39,57.92,14.1,99.36,162,12,0,0,12
19.69,0.6,2.33,100.39,340,5,1,0,2
36.75,3.98,4.73,98.11,383,19,0,1,6
43.26,0.19,3.98,98.46,351,18,0,0,7
16.15,3.48,1.35,101.45,425,2,0,1,3
7.04,5.39,3.27,101.64,411,14,0,0,3
28.29,3.08,1.08,100.05,422,8,1,0,5
15.32,4.37,1.82,101.88,500,6,0,0,5
29.97,1.75,2.42,100.8,500,10,0,1,5
31.28,70.53,14.81,100.54,201,13,0,1,11
41.8,1.19,1.55,98.71,326,15,0,0,6
34.74,1.17,1.21,98.04,206,17,1,0,2
36.15,3.4,2.09,99.9,276,7,0,1,4
31.43,2.09,5.4,99.89,142,1,0,0,1
17.83,7.43,0.73,101.8,345,7,0,1,4
11.72,5.13,1.31,101.35,487,19,0,1,3
17.8,3.9,1.38,100.12,288,4,0,0,1
16.14,9.28,3.98,101.35,364,18,0,0,3
31.96,16.54,12.79,99.45,185,8,1,0,0
30.56,4.47,5.3,98.91,305,5,1,0,2
34.37,2.38,1.22,99.7,297,9,1,0,1
19.94,4.66,2.34,100.56,357,9,1,0,3
30.08,3.48,1.24,99.07,215,6,0,0,1
26.09,72.09,14.9,99.12,95,3,0,0,11
38.26,4.53,3.86,99.32,185,18,0,0,1
27.97,3.67,1.8,101.74,343,11,1,0,6
32.52,0.8,2.67,98.48,341,11,1,0,6
31.69,3.49,1.95,99.76,281,10,0,1,4
21.98,4.4,0.51,101.64,489,13,0,1,3
34.09,5.08,9.67,100.51,129,13,0,1,1
5.09,0.84,1.64,102.12,425,14,0,0,5
31.34,45.5,12.36,99.21,133,5,1,0,9
29.44,1.71,2.08,101.86,461,14,0,0,5
17.0,6.88,0.74,101.6,257,10,0,1,4
25.67,48.66,7.15,100.24,142,2,0,1,9
29.6,4.84,2.37,100.26,415,7,0,1,5
30.39,0.11,2.62,98.98,368,10,0,1,6
12.93,4.46,1.46,102.99,340,10,0,1,6
33.54,44.53,12.91,99.6,52,6,0,0,9
32.73,22.25,4.58,100.74,248,10,0,1,4
25.31,59.85,13.91,100.71,168,19,0,1,11
14.16,4.42,1.59,101.64,217,16,0,0,1
18.2,0.16,2.13,100.74,337,7,0,1,6
9.57,9.68,1.15,102.74,191,17,1,0,0
21.81,2.65,0.54,101.59,443,15,0,0,5
44.59,4.84,1.93,98.92,334,0,0,0,7
11.72,2.48,2.45,101.45,436,9,1,0,5
28.26,49.27,8.2,100.97,171,7,0,1,9
25.72,34.44,8.76,100.2,61,15,0,0,9
31.95,69.51,12.36,99.08,147,17,1,0,12
27.42,79.0,4.71,100.0,132,14,0,0,9
13.24,5.6,0.53,101.65,203,8,1,0,1
25.88,31.3,3.4,99.16,207,6,0,0,8
4.12,5.68,2.91,102.6,329,17,1,0,10
12.73,9.52,0.93,102.79,183,6,0,0,1
31.17,50.97,6.59,100.87,140,15,0,0,9
12.0,7.83,2.64,101.97,268,3,0,0,2
30.48,66.3,8.43,100.29,179,7,0,1,11
41.71,0.41,1.3,98.49,284,9,1,0,1
43.95,1.1,5.88,98.67,283,8,1,0,7
32.9,54.4,8.98,100.11,183,1,0,0,11
33.66,4.98,5.87,99.3,182,15,0,0,1
29.18,20.27,13.09,99.35,62,0,0,0,0
24.43,3.68,2.42,101.01,317,15,0,0,3
10.22,5.88,0.6,101.79,458,10,0,1,3
23.97,3.96,2.14,101.98,458,8,1,0,3
20.39,1.92,1.66,101.67,500,2,0,1,5
42.42,2.03,4.01,99.27,206,2,0,1,7
10.2,4.13,0.74,101.87,293,4,0,0,2
10.24,3.59,2.58,101.33,258,2,0,1,4
27.87,0.05,1.97,101.2,427,3,0,0,3
18.56,1.17,2.71,100.88,308,16,0,0,3
29.49,55.2,4.75,99.9,69,14,0,0,9
45.18,1.26,2.8,98.76,262,9,1,0,7
35.71,2.67,4.91,99.41,262,19,0,1,4
15.83,5.58,2.39,101.07,307,6,0,0,3
10.5,9.37,0.64,101.24,463,2,0,1,3
44.94,1.58,3.54,98.08,191,5,1,0,7
37.68,3.43,1.09,98.65,204,5,1,0,2
23.7,1.27,1.8,100.69,276,14,0,0,2
4.01,1.33,1.0,102.88,226,1,0,0,10
26.88,59.81,4.87,99.47,151,9,1,0,9
13.08,8.38,3.81,102.37,360,2,0,1,6
11.89,8.69,2.5,101.06,458,18,0,0,5
5.45,6.59,1.88,102.3,286,3,0,0,1
4.55,6.05,1.61,102.73,305,8,1,0,10
42.04,0.45,2.44,98.22,314,2,0,1,7
28.27,55.07,12.69,100.52,60,5,1,0,12
43.9,1.88,2.48,99.3,262,14,0,0,7
28.66,34.71,11.35,99.78,99,14,0,0,9
20.6,1.14,0.68,101.21,342,8,1,0,3
39.91,2.32,2.9,99.73,228,2,0,1,4
29.79,6.92,7.09,99.76,163,13,0,1,1
27.46,40.75,7.73,100.1,174,19,0,1,8
13.45,5.21,3.38,101.86,405,2,0,1,3
45.27,3.27,2.9,98.39,281,8,1,0,7
17.92,0.83,2.04,101.05,483,5,1,0,5
16.87,5.32,2.53,101.18,344,8,1,0,6
21.0,4.88,2.56,101.04,316,13,0,1,4
33.59,64.98,5.22,99.59,116,15,0,0,9
34.63,41.27,12.67,100.1,243,10,0,1,8
31.33,76.36,10.22,100.64,181,5,1,0,12
27.12,50.82,7.93,100.68,114,15,0,0,9
35.65,1.18,4.9,98.55,173,17,1,0,0
36.78,3.34,1.48,99.25,351,14,0,0,3
26.53,22.64,13.43,99.95,184,8,1,0,0
17.68,1.56,1.08,100.41,239,3,0,0,1
18.85,3.16,0.65,100.28,317,17,1,0,3
11.55,6.76,2.05,101.89,420,1,0,0,5
29.87,0.64,0.76,101.45,352,19,0,1,6
6.39,0.79,0.8,102.79,249,1,0,0,2
7.87,3.44,2.66,101.88,358,17,1,0,3
27.01,1.17,1.85,101.76,271,14,0,0,1
10.53,3.24,1.67,102.34,427,0,0,0,3
40.59,2.79,4.65,98.93,148,9,1,0,0
23.43,4.79,0.94,101.38,500,17,1,0,3
38.57,0.48,3.25,99.51,339,7,0,1,6
12.64,7.95,3.75,101.47,323,3,0,0,3
25.2,60.29,12.22,99.49,69,9,1,0,12
16.39,1.29,2.47,101.73,479,15,0,0,3
10.11,1.59,0.72,101.24,369,14,0,0,3
7.47,3.81,1.71,101.48,371,6,0,0,2
29.14,4.37,0.9,101.57,383,8,1,0,3
30.67,34.33,9.01,99.79,145,16,0,0,8
28.81,70.85,13.42,100.61,105,9,1,0,12
19.57,0.4,1.51,100.35,383,4,0,0,6
28.46,78.17,10.69,100.64,97,15,0,0,12
19.71,3.03,0.85,101.8,500,17,1,0,5
10.04,3.99,1.01,101.74,268,10,0,1,4
29.45,2.75,2.91,100.86,450,7,0,1,3
38.1,2.2,1.53,99.28,314,13,0,1,6
24.29,3.25,0.88,100.12,463,15,0,0,5
21.9,0.29,2.99,100.12,289,4,0,0,1
34.84,22.94,4.71,99.24,140,4,0,0,1
25.38,0.31,1.77,101.99,272,3,0,0,1
24.23,1.53,2.06,101.05,499,16,0,0,3
16.96,4.43,1.62,100.39,252,4,0,0,1
21.21,4.14,2.33,101.54,463,2,0,1,5
17.01,2.09,2.48,101.16,500,10,0,1,3
17.85,3.09,1.31,101.67,500,10,0,1,5
33.18,0.32,1.21,98.74,317,15,0,0,6
9.27,8.44,0.84,101.98,458,2,0,1,5
35.19,3.69,3.38,98.75,387,7,0,1,6
37.35,3.93,5.46,99.91,191,3,0,0,1
7.05,6.88,2.03,101.51,228,14,0,0,2
30.61,4.51,3.31,99.27,160,0,0,0,1
44.32,3.18,4.07,98.13,311,10,0,1,7
26.5,60.31,9.15,100.36,103,9,1,0,12
3.36,7.16,0.75,101.14,397,13,0,1,10
29.35,3.69,1.38,100.59,469,7,0,1,3
14.39,6.61,1.15,101.35,434,5,1,0,3
24.9,3.82,1.16,100.04,500,19,0,1,3
17.49,2.95,3.19,102.25,253,15,0,0,1
31.15,63.1,10.73,100.06,142,14,0,0,12
42.78,1.46,5.9,99.2,331,8,1,0,7
32.48,65.88,10.88,99.26,50,14,0,0,11
28.92,1.12,1.43,100.86,460,2,0,1,5
31.13,75.73,5.89,99.24,101,18,0,0,9
28.3,3.23,1.21,101.63,376,8,1,0,3
27.7,4.59,1.13,101.51,375,6,0,0,3
13.97,5.58,1.13,101.11,446,3,0,0,5
32.53,25.2,9.47,100.46,49,18,0,0,0
31.85,11.89,14.58,99.98,150,18,0,0,1
41.72,2.71,3.95,99.02,363,9,1,0,6
30.65,56.67,13.48,100.27,183,12,0,0,11
32.56,2.31,1.05,98.49,126,18,0,0,1
29.88,0.5,1.5,101.6,500,19,0,1,5
30.55,59.98,10.39,99.38,203,7,0,1,11
30.39,44.31,13.18,100.68,47,6,0,0,8
30.18,3.75,4.79,99.36,313,3,0,0,3
43.47,2.35,3.51,98.25,233,14,0,0,7
32.22,71.46,10.12,99.78,112,18,0,0,11
26.78,7.18,5.0,99.36,115,2,0,1,1
23.82,2.4,2.11,100.13,416,10,0,1,3
10.98,5.61,2.61,102.35,269,6,0,0,2
27.7,66.88,8.98,99.15,192,16,0,0,11
20.01,3.92,2.27,101.58,429,8,1,0,5
37.04,0.74,2.64,98.87,376,10,0,1,6
3.0,8.01,3.18,102.47,391,2,0,1,10
17.6,3.19,1.74,100.36,427,7,0,1,5
29.87,3.74,2.35,101.9,404,2,0,1,3
39.05,4.9,1.83,99.4,266,8,1,0,2
27.73,43.86,6.58,100.88,99,11,1,0,9
33.61,1.88,3.31,98.96,277,11,1,0,1
45.0,3.53,4.16,98.1,207,15,0,0,7
34.09,63.52,3.08,99.11,182,19,0,1,8
17.03,3.76,2.14,101.91,460,2,0,1,5
30.91,1.41,2.31,98.49,248,13,0,1,4
45.6,1.86,3.14,99.69,232,4,0,0,7
26.56,68.98,3.56,100.24,182,1,0,0,9
35.53,1.58,4.86,98.17,279,3,0,0,1
13.72,5.48,0.95,102.76,366,17,1,0,3
32.88,51.83,8.93,100.96,90,14,0,0,12
13.6,1.91,1.68,101.62,379,18,0,0,3
25.8,2.09,0.72,101.37,268,3,0,0,2
45.69,1.14,3.02,99.09,307,8,1,0,7
10.78,6.13,1.29,102.69,175,11,1,0,0
24.96,1.08,0.74,101.72,436,14,0,0,3
38.73,0.31,3.56,99.61,291,11,1,0,2
25.52,63.97,5.42,99.52,64,17,1,0,8
28.3,61.76,9.23,99.41,119,12,0,0,11
17.42,1.28,2.87,101.12,272,3,0,0,1
38.93,2.76,1.47,98.69,195,6,0,0,1
28.91,64.88,7.46,99.9,191,1,0,0,8
3.49,4.41,1.18,101.37,200,4,0,0,10
7.71,7.57,1.47,101.62,290,2,0,1,4
16.64,5.33,1.05,102.39,438,18,0,0,3
7.07,8.57,3.67,101.55,306,10,0,1,4
4.25,2.02,1.14,102.79,387,8,1,0,10
28.13,64.89,14.61,100.71,167,4,0,0,11
41.84,1.6,5.94,98.97,169,3,0,0,1
40.15,0.83,5.41,98.85,273,4,0,0,2
31.87,11.98,3.35,100.65,209,7,0,1,4
17.58,3.37,1.54,102.84,321,0,0,0,3
14.15,9.88,3.65,102.3,405,1,0,0,5
37.91,4.14,2.68,98.35,167,16,0,0,1
27.39,0.5,1.1,100.28,370,2,0,1,6
37.21,3.74,4.26,99.24,285,11,1,0,2
15.46,4.71,3.93,102.27,396,16,0,0,6
26.06,28.62,3.05,100.36,226,1,0,0,2
45.87,0.36,1.39,98.68,329,0,0,0,7
18.23,1.8,0.67,101.53,445,15,0,0,5
26.39,4.52,1.08,101.61,310,3,0,0,6
34.16,4.54,4.35,99.12,243,14,0,0,1
9.15,4.6,3.53,102.09,282,10,0,1,4
17.63,1.11,1.98,101.08,500,2,0,1,5
34.66,14.56,11.49,100.95,251,19,0,1,4
31.99,67.96,14.78,100.24,150,12,0,0,12
24.42,2.66,2.09,100.9,376,16,0,0,2
3.92,0.68,1.42,101.09,385,3,0,0,10
19.26,4.12,0.69,100.45,386,13,0,1,4
30.99,9.84,13.53,100.75,249,13,0,1,4
20.11,4.95,2.07,101.06,329,14,0,0,3
27.85,37.19,6.21,100.58,172,3,0,0,9
27.52,21.52,8.86,100.48,219,10,0,1,4
15.9,0.65,3.85,101.05,290,11,1,0,2
42.38,3.01,5.46,98.89,250,2,0,1,7
37.12,3.94,4.2,99.35,298,2,0,1,4
33.75,3.93,5.85,98.53,367,13,0,1,6
41.9,2.53,4.17,98.14,289,4,0,0,2
20.43,2.36,0.61,100.28,384,3,0,0,3
45.54,1.66,3.41,98.39,261,13,0,1,7
27.81,20.52,9.2,99.01,113,9,1,0,0
33.51,0.18,1.54,98.68,256,11,1,0,1
23.58,2.56,1.23,101.86,251,4,0,0,1
25.87,51.28,4.37,99.69,98,3,0,0,9
29.94,57.67,14.91,99.26,109,3,0,0,11
36.31,2.11,3.06,99.82,299,13,0,1,4
31.75,27.25,11.62,100.91,111,19,0,1,1
12.18,0.51,1.4,101.12,363,0,0,0,3
31.87,13.59,7.61,99.91,137,9,1,0,0
31.94,2.09,4.76,98.14,291,11,1,0,1
20.32,4.71,2.17,101.36,463,4,0,0,3
39.5,0.05,4.18,99.83,278,4,0,0,1
15.98,7.24,0.92,102.8,337,16,0,0,3
23.01,0.71,0.53,100.84,484,13,0,1,5
29.86,48.29,3.52,99.25,98,5,1,0,9
37.47,4.08,1.34,98.77,303,10,0,1,4
8.46,0.78,2.4,102.72,258,4,0,0,1
27.26,33.82,8.4,100.16,142,2,0,1,9
19.78,2.91,1.43,101.2,438,13,0,1,5
31.88,33.09,5.0,99.86,135,13,0,1,8
35.53,0.77,1.13,99.29,324,16,0,0,3
36.17,3.96,3.98,98.2,247,13,0,1,4
22.97,4.21,1.95,101.12,253,9,1,0,2
4.68,9.72,1.3,102.95,246,1,0,0,10
32.17,0.5,2.04,99.85,219,12,0,0,1
28.13,16.03,8.85,99.26,177,6,0,0,1
17.29,3.14,3.61,102.21,418,6,0,0,5
25.88,50.52,4.82,99.06,44,9,1,0,8
29.7,2.39,1.83,100.34,330,0,0,0,6
15.42,3.56,3.39,102.42,500,13,0,1,3
10.12,6.77,1.32,102.66,284,12,0,0,2
30.0,0.75,2.54,100.41,330,2,0,1,4
44.09,3.12,3.85,99.24,382,13,0,1,7
36.32,0.2,3.38,99.09,292,14,0,0,2
28.64,3.61,1.83,101.74,421,18,0,0,5
32.91,14.36,12.53,99.55,182,13,0,1,1
29.16,0.74,1.66,101.96,500,3,0,0,3
15.82,5.89,1.81,101.57,467,10,0,1,5
36.18,2.56,3.46,99.15,350,11,1,0,3
17.69,4.08,3.4,102.53,435,3,0,0,5
29.34,1.0,0.77,101.71,316,18,0,0,6
27.7,4.47,0.66,101.77,470,2,0,1,5
10.17,6.27,3.74,101.04,279,10,0,1,4
2.49,8.72,2.35,102.27,500,10,0,1,10
43.12,1.67,4.67,99.06,260,2,0,1,7
17.97,6.77,3.4,101.59,306,16,0,0,3
13.81,8.34,3.09,101.29,408,11,1,0,3
14.3,6.59,3.18,102.69,402,3,0,0,5
8.39,7.23,1.48,102.37,278,6,0,0,1
10.79,6.32,2.52,102.4,292,2,0,1,4
22.84,1.5,0.69,101.0,500,15,0,0,5
32.07,8.77,3.87,99.81,160,18,0,0,1
5.72,2.81,3.31,102.86,310,10,0,1,6
15.33,2.92,2.61,101.1,489,2,0,1,5
25.34,21.1,7.99,100.52,66,9,1,0,0
41.52,4.33,3.27,99.64,224,18,0,0,2
40.19,2.63,3.32,98.47,195,16,0,0,1
19.35,2.82,0.8,101.83,244,9,1,0,2
36.42,0.79,5.41,99.65,256,1,0,0,2
34.34,2.01,1.51,98.38,237,9,1,0,1
25.73,2.97,2.74,101.17,327,19,0,1,6
35.45,4.7,1.41,99.86,240,18,0,0,2
4.08,5.65,3.53,102.14,328,18,0,0,10
28.65,1.89,2.91,100.18,487,10,0,1,3
22.41,1.94,2.08,101.41,403,1,0,0,3
32.67,3.57,4.33,99.93,297,10,0,1,4
17.21,7.03,1.54,101.21,391,16,0,0,2
29.99,0.52,1.75,100.77,354,7,0,1,6
9.32,2.09,1.79,101.74,199,16,0,0,1
30.52,36.18,11.64,99.74,128,11,1,0,9
24.72,3.98,2.39,100.07,379,12,0,0,3
44.89,0.63,4.69,99.95,371,19,0,1,7
40.92,2.34,3.9,98.17,248,10,0,1,4
43.17,3.91,3.72,98.2,298,10,0,1,7
18.63,4.56,2.6,101.42,370,17,1,0,3
2.5,7.36,1.66,102.81,221,8,1,0,10
37.43,4.82,3.6,99.36,317,10,0,1,4
32.74,62.97,9.26,100.95,99,11,1,0,12
30.27,3.85,5.04,98.24,259,4,0,0,2
15.26,1.47,2.43,101.04,500,17,1,0,5
35.95,0.01,2.5,99.29,289,4,0,0,2
33.47,6.77,13.78,100.57,85,16,0,0,0
26.52,72.46,11.52,100.87,157,0,0,0,12
9.58,0.58,3.85,102.89,357,5,1,0,3
17.86,5.44,3.87,101.15,418,15,0,0,3
5.61,1.96,0.99,102.24,448,4,0,0,3
42.98,3.18,2.94,99.35,232,9,1,0,7
45.16,1.69,4.62,99.08,318,16,0,0,7
13.04,6.9,3.76,101.99,500,10,0,1,5
8.65,3.02,3.16,101.71,311,4,0,0,2
17.4,6.21,3.75,102.52,316,19,0,1,6
17.7,2.29,1.9,101.73,270,1,0,0,2
28.47,3.37,0.84,101.99,339,7,0,1,6
8.27,6.59,0.88,102.27,468,14,0,0,3
21.1,4.77,1.81,100.44,344,9,1,0,2
28.79,0.88,1.03,100.03,356,11,1,0,3
27.44,3.66,1.39,101.4,314,9,1,0,6
29.29,4.84,1.48,101.71,472,16,0,0,3
6.96,2.32,2.1,102.56,276,6,0,0,2
